report_date,statement,code,sector,level,is_priority_sector_memo,parent_code,parent_statement,date,outstanding_cr
2026-02-27,Statement 1,III,Non-food Credit,0,False,,,2024-01-26,15997973.06785
2026-02-27,Statement 1,III,Non-food Credit,0,False,,,2024-03-22,16409083.116709996
2026-02-27,Statement 1,III,Non-food Credit,0,False,,,2025-01-24,17812299.670021754
2026-02-27,Statement 1,III,Non-food Credit,0,False,,,2025-03-21,18207441.174670212
2026-02-27,Statement 1,III,Non-food Credit,0,False,,,2026-01-31,20386086.55524439
2026-02-27,Statement 1,i,Agriculture and Allied Activities,2,True,,,2024-01-26,2008221.861126
2026-02-27,Statement 1,i,Agriculture and Allied Activities,2,True,,,2024-03-22,2061125.592131
2026-02-27,Statement 1,i,Agriculture and Allied Activities,2,True,,,2025-01-24,2248829.057853
2026-02-27,Statement 1,i,Agriculture and Allied Activities,2,True,,,2025-03-21,2287794.295478
2026-02-27,Statement 1,i,Agriculture and Allied Activities,2,True,,,2026-01-31,2565249.745375
2026-02-27,Statement 1,ii,Micro and Small Enterprises,2,True,,,2024-01-26,1939652.614843
2026-02-27,Statement 1,ii,Micro and Small Enterprises,2,True,,,2024-03-22,1974181.592811
2026-02-27,Statement 1,ii,Micro and Small Enterprises,2,True,,,2025-01-24,2191765.631903
2026-02-27,Statement 1,ii,Micro and Small Enterprises,2,True,,,2025-03-21,2239408.718898
2026-02-27,Statement 1,ii,Micro and Small Enterprises,2,True,,,2026-01-31,2735314.276135
2026-02-27,Statement 1,iii,Medium Enterprises,2,True,,,2024-01-26,470609.083033
2026-02-27,Statement 1,iii,Medium Enterprises,2,True,,,2024-03-22,490692.832477
2026-02-27,Statement 1,iii,Medium Enterprises,2,True,,,2025-01-24,574228.296943
2026-02-27,Statement 1,iii,Medium Enterprises,2,True,,,2025-03-21,601450.822701
2026-02-27,Statement 1,iii,Medium Enterprises,2,True,,,2026-01-31,682981.134683
2026-02-27,Statement 1,iv,Housing,2,True,,,2024-01-26,757001.334045
2026-02-27,Statement 1,iv,Housing,2,True,,,2024-03-22,755222.25644
2026-02-27,Statement 1,iv,Housing,2,True,,,2025-01-24,747261.250811
2026-02-27,Statement 1,iv,Housing,2,True,,,2025-03-21,746651.293154
2026-02-27,Statement 1,iv,Housing,2,True,,,2026-01-31,1030805.285492
2026-02-27,Statement 1,ix,Others,2,True,,,2024-01-26,64185.31376
2026-02-27,Statement 1,ix,Others,2,True,,,2024-03-22,61339.167429
2026-02-27,Statement 1,ix,Others,2,True,,,2025-01-24,53143.411114
2026-02-27,Statement 1,ix,Others,2,True,,,2025-03-21,49552.334361
2026-02-27,Statement 1,ix,Others,2,True,,,2026-01-31,40416.672256
2026-02-27,Statement 1,v,Educational Loans,2,True,,,2024-01-26,61683.378536
2026-02-27,Statement 1,v,Educational Loans,2,True,,,2024-03-22,62234.726239
2026-02-27,Statement 1,v,Educational Loans,2,True,,,2025-01-24,63055.758325
2026-02-27,Statement 1,v,Educational Loans,2,True,,,2025-03-21,62825.537219
2026-02-27,Statement 1,v,Educational Loans,2,True,,,2026-01-31,77853.485163
2026-02-27,Statement 1,vi,Renewable Energy,2,True,,,2024-01-26,5396.928623
2026-02-27,Statement 1,vi,Renewable Energy,2,True,,,2024-03-22,5790.134324
2026-02-27,Statement 1,vi,Renewable Energy,2,True,,,2025-01-24,7558.59
2026-02-27,Statement 1,vi,Renewable Energy,2,True,,,2025-03-21,10324.84
2026-02-27,Statement 1,vi,Renewable Energy,2,True,,,2026-01-31,12243.33
2026-02-27,Statement 1,vii,Social Infrastructure,2,True,,,2024-01-26,829.755805
2026-02-27,Statement 1,vii,Social Infrastructure,2,True,,,2024-03-22,813.034724
2026-02-27,Statement 1,vii,Social Infrastructure,2,True,,,2025-01-24,983.06
2026-02-27,Statement 1,vii,Social Infrastructure,2,True,,,2025-03-21,1316.48
2026-02-27,Statement 1,vii,Social Infrastructure,2,True,,,2026-01-31,1255.14
2026-02-27,Statement 1,viii,Export Credit,2,True,,,2024-01-26,12053.264607000001
